"country.name","year","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes"
"Austria",2015,7.17,10.93,16.68,78.85,22.59,1.66
"Austria",2016,7.16,11.41,15.91,78.55,22.14,1.57
"Austria",2017,7.21,10.92,16.14,78.38,22.37,1.5
"Austria",2018,7.25,9.89,15.88,77.01,22.51,1.43
"Austria",2019,7.3,9.58,15.75,76.41,22.62,1.37
"Austria",2020,7.34,8.94,15.51,75.39,22.71,1.31
"Austria",2021,7.34,8.43,15.27,74.39,22.74,1.26
"Austria",2022,7.34,8.45,15.27,74.13,22.74,1.21
"Austria",2023,7.35,8.49,15.23,73.84,22.69,1.16
"Austria",2024,7.35,8.53,15.13,73.45,22.6,1.12
"Austria",2025,7.35,8.34,14.95,72.72,22.46,1.08
"Austria",2026,7.35,8.14,14.87,72.06,22.29,1.05
"Austria",2027,7.35,8.15,14.8,71.6,22.11,1.01
"Austria",2028,7.35,8.15,14.6,70.98,21.9,0.98
"Austria",2029,7.36,8.12,14.44,70.37,21.69,0.96
"Austria",2030,7.36,8.08,14.31,69.77,21.47,0.93
"Austria",2031,7.39,8.08,14.27,69.35,21.24,0.91
"Austria",2032,7.43,8,14.28,68.89,21,0.89
"Austria",2033,7.47,7.87,14.27,68.35,20.75,0.87
"Austria",2034,7.5,7.87,14.26,67.93,20.5,0.85
"Austria",2035,7.54,7.6,14.27,67.27,20.23,0.83
"Belgium",2014,9.94,20.54,19.81,113.87,25.23,1.82
"Belgium",2015,9.85,21.43,19.7,118.14,26.66,1.72
"Belgium",2016,9.8,20.83,19.82,116.82,26.31,1.64
"Belgium",2017,9.76,20.23,19.85,116.28,26.52,1.56
"Belgium",2018,9.71,19.63,19.96,115.86,26.74,1.49
"Belgium",2019,9.67,19.02,20.03,115.34,26.96,1.42
"Belgium",2020,9.62,18.42,19.9,114.68,27.2,1.36
"Belgium",2021,9.54,18.18,19.75,114.11,27.38,1.3
"Belgium",2022,9.46,17.94,19.6,113.55,27.56,1.25
"Belgium",2023,9.38,17.7,19.44,112.99,27.74,1.19
"Belgium",2024,9.29,17.46,19.29,112.44,27.93,1.15
"Belgium",2025,9.21,17.22,19.14,111.93,28.14,1.1
"Belgium",2026,9.18,20.05,19.03,114.65,28.35,1.06
"Belgium",2027,9.15,20.02,18.93,114.47,28.55,1.02
"Belgium",2028,9.12,19.99,18.83,114.34,28.76,0.99
"Belgium",2029,9.09,19.96,18.73,114.21,28.97,0.97
"Belgium",2030,9.06,19.94,18.63,114.13,29.22,0.95
"Belgium",2031,9.06,19.91,18.56,114.09,29.44,0.94
"Belgium",2032,9.06,19.88,18.5,114.09,29.68,0.93
"Belgium",2033,9.06,19.85,18.43,114.1,29.92,0.92
"Belgium",2034,9.06,19.82,18.36,114.11,30.17,0.91
