"country.name","country.code","year","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes","residential.ghg.emissions.mio.tonnes","ghg.emissions.indexed","ghg.emissions.per.capita.tonnes","other.ghg.emissions.mio.tonnes"
"Austria","AT",1990,8136.76057,14099.97018,13662.33863,78670.34372,13975.23508,3925.01966,12862.45304,100,10.4,12008.56656
"Austria","AT",1991,8044.49191,14873.19813,13695.97586,82349.31356,15455.47077,3994.30791,14096.27144,104.9,10.8,12189.59754
"Austria","AT",1992,7729.37542,11632.79336,12053.42048,75750.43343,15425.39274,3946.40605,13543.38369,96.6,9.8,11419.66169
"Austria","AT",1993,7715.14301,11678.30825,12004.00422,75932.29679,15557.0608,3920.98224,13551.5098,96.8,9.7,11505.28847
"Austria","AT",1994,7701.68817,11964.25738,12738.74184,76206.72004,15605.34237,3823.16042,12288.49971,97.5,9.8,12085.03015
"Austria","AT",1995,7827.93172,13155.46146,13604.92033,79584.03448,15885.61705,3651.16076,13509.95424,101.9,10.2,11948.98892
"Austria","AT",1996,7718.42349,14127.88822,13057.11525,82874.66509,17439.47295,3462.68541,14491.77249,106.1,10.6,12577.30728
"Austria","AT",1997,7672.0181,14141.82548,14219.02163,82405.07979,16452.04154,3314.84102,12945.17834,105.6,10.5,13660.15368
"Austria","AT",1998,7639.82948,13174.4513,13864.92374,81702.15545,18560.41836,3194.87944,12980.65617,104.7,10.4,12286.99696
"Austria","AT",1999,7534.35604,12712.52886,13647.39732,80105.17886,18022.0009,3075.28196,13511.13658,102.6,10.2,11602.4772
"Austria","AT",2000,7438.14937,12397.02196,14610.40772,80414.98044,18817.90658,2963.10734,12385.53028,103.2,10.3,11802.85719
"Austria","AT",2001,7380.12145,13749.5189,14487.86697,84324.3409,20308.80407,2865.49022,13593.43443,108.3,10.7,11939.10486
"Austria","AT",2002,7268.93624,13449.23513,15129.49031,86110.7423,22221.1789,2863.10386,12865.38093,110.3,10.9,12313.41693
"Austria","AT",2003,7121.57019,16164.37443,15271.15918,91788.39315,24073.84143,2866.58492,13551.98191,117.2,11.5,12738.88109
"Austria","AT",2004,7105.67697,15993.60656,14810.66789,91382.83734,24589.60719,2929.95656,13023.50277,117.3,11.4,12929.8194
"Austria","AT",2005,7037.55853,16397.4235,15599.74163,92566.55645,24943.77686,2790.99459,12482.87134,118.9,11.5,13314.19
"Austria","AT",2006,7026.8835,15230.05332,16257.45909,90117.31121,23673.89567,2671.20955,12294.79609,115.5,11.1,12963.01399
"Austria","AT",2007,7082.13778,14017.95119,16911.94716,87472.73532,23891.70251,2543.32696,10397.15987,112.2,10.8,12628.50985
"Austria","AT",2008,7205.75725,13829.42347,17249.0314,86816.18104,22414.30533,2431.10413,10697.25885,112,10.7,12989.30061
"Austria","AT",2009,7239.86839,12852.37959,13921.65625,80328.50224,21753.31645,2284.73016,9935.21937,103.1,9.8,12341.33203
"Austria","AT",2010,7102.94137,14028.09433,15929.63847,84753.25704,22567.80103,2157.95242,10089.93125,109.3,10.4,12876.89817
