iso," country_name","disaster type",year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
ALB,Albania,Drought,1989,1,,,3200000,,3200000,
ALB,Albania,Earthquake,1967,1,11,134,,,134,
ALB,Albania,Earthquake,1979,1,35,350,,,350,
ALB,Albania,Earthquake,1982,1,1,5,,5000,5005,
ALB,Albania,Earthquake,1988,1,,,690,,690,
ALB,Albania,Earthquake,1998,1,,,2100,,2100,
ALB,Albania,Earthquake,2009,1,,,,150,150,
ALB,Albania,Epidemic,1996,1,7,,66,,66,
ALB,Albania,Epidemic,2002,1,,,226,,226,
ALB,Albania,"Extreme temperature ",1985,1,68,,5745,1340,7085,
ALB,Albania,"Extreme temperature ",2004,1,3,,,,,
ALB,Albania,"Extreme temperature ",2007,1,,,150,,150,
ALB,Albania,"Extreme temperature ",2012,1,5,,230000,,230000,
ALB,Albania,"Extreme temperature ",2017,1,6,,,,,
ALB,Albania,Flood,1992,1,11,,35000,,35000,7000
ALB,Albania,Flood,1995,2,4,,3500,,3500,
ALB,Albania,Flood,1997,1,,,8000,,8000,
ALB,Albania,Flood,2002,1,1,,66884,,66884,17500
ALB,Albania,Flood,2004,1,,,2500,,2500,173
ALB,Albania,Flood,2005,1,3,,500,,500,
ALB,Albania,Flood,2009,1,,,6600,,6600,
ALB,Albania,Flood,2010,1,,,14000,,14000,
ALB,Albania,Flood,2015,3,1,,42300,,42300,
ALB,Albania,Flood,2016,1,2,,4500,,4500,
ALB,Albania,Flood,2017,1,1,2,21000,,21002,8900
ALB,Albania,Flood,2018,1,,,800,,800,
ALB,Albania,Landslide,1985,1,57,26,,,26,
ALB,Albania,Storm,2002,1,6,,125000,,125000,
ALB,Albania,Storm,2005,1,2,,400000,,400000,
ALB,Albania,Wildfire,2007,1,,,,75,75,
AUT,Austria,Earthquake,1998,1,,,,,,
AUT,Austria,"Extreme temperature ",2003,1,345,,,,,280000
AUT,Austria,"Extreme temperature ",2005,1,,,,,,
AUT,Austria,"Extreme temperature ",2007,1,5,,,,,
AUT,Austria,"Extreme temperature ",2009,1,2,,,,,
AUT,Austria,"Extreme temperature ",2012,1,5,,,,,
AUT,Austria,Flood,1980,1,,,,,,
AUT,Austria,Flood,1982,1,,,,,,
AUT,Austria,Flood,1983,1,,,,,,
AUT,Austria,Flood,1985,1,12,,,,,
AUT,Austria,Flood,1991,1,5,,,,,82000
AUT,Austria,Flood,1995,1,2,,,,,200
AUT,Austria,Flood,1996,1,,,,,,5000
AUT,Austria,Flood,1997,1,3,,,,,175000
AUT,Austria,Flood,1999,1,3,,,,,32000
AUT,Austria,Flood,2002,1,9,,60000,,60000,2400000
AUT,Austria,Flood,2005,2,4,,900,,900,700000
AUT,Austria,Flood,2006,1,,,516,,516,
AUT,Austria,Flood,2009,2,1,,,,,200000
AUT,Austria,Flood,2013,1,4,,200,,200,1000000
AUT,Austria,Flood,2016,1,,,,,,
AUT,Austria,Landslide,1952,1,28,,,,,
AUT,Austria,Landslide,1954,2,210,,380,,380,
AUT,Austria,Landslide,1975,1,15,,,,,
AUT,Austria,Landslide,1982,1,12,,,,,
AUT,Austria,Landslide,1984,1,30,,,,,
AUT,Austria,Landslide,1999,1,50,,10000,,10000,41570
AUT,Austria,Landslide,2000,1,13,,,,,
AUT,Austria,Storm,1976,1,,,,,,
AUT,Austria,Storm,1981,1,,,,,,
AUT,Austria,Storm,1984,1,12,,,,,
AUT,Austria,Storm,1990,5,3,,,,,250000
AUT,Austria,Storm,1991,1,,,,,,28000
AUT,Austria,Storm,1993,1,,,,,,1000
AUT,Austria,Storm,1994,1,,,,,,2000
AUT,Austria,Storm,2000,1,,,,,,20000
AUT,Austria,Storm,2002,2,3,,300,,300,5000
AUT,Austria,Storm,2007,1,,,,,,400000
AUT,Austria,Storm,2008,1,4,,,,,500000
AUT,Austria,Storm,2009,1,,,,,,500000
AUT,Austria,Storm,2017,2,5,120,210,,330,1200
AUT,Austria,Storm,2019,1,11,,,,,
AZO,"Azores Islands",Earthquake,1964,1,,,1000,,1000,
AZO,"Azores Islands",Earthquake,1980,1,69,600,21300,,21900,
AZO,"Azores Islands",Earthquake,1998,1,10,100,,1000,1100,72000
AZO,"Azores Islands",Landslide,1997,1,29,5,,50,55,16300
AZO,"Azores Islands",Storm,1946,1,27,,,,,
AZO,"Azores Islands",Storm,1996,1,,,60,,60,66000
BLR,Belarus,Epidemic,1995,1,13,,282,,282,
BLR,Belarus,Epidemic,1997,1,,,605,,605,
BLR,Belarus,"Extreme temperature ",2000,1,,,,,,30300
BLR,Belarus,"Extreme temperature ",2006,1,5,1820,,,1820,
