projection,unit,sex,age,geo\time	2018 	2020 	2030 	2040 	2050 	2060 	2070 	2080 	2090 	2100 
BSL,PER,F,TOTAL,AT	4483749 	4521866 	4738088 	4883058 	4963276 	4971887 	4956846 	4945335 	4920984 	4900764 
BSL,PER,F,TOTAL,BE	5784371 	5823894 	6020549 	6209804 	6342669 	6411578 	6480430 	6551381 	6583757 	6592788 
BSL,PER,F,TOTAL,BG	3627625 	3575699 	3302080 	3074441 	2869831 	2665486 	2448364 	2262496 	2123058 	2019589 
BSL,PER,F,TOTAL,CH	4277696 	4335358 	4625883 	4858114 	5042206 	5160830 	5230985 	5280433 	5304746 	5320150 
BSL,PER,F,TOTAL,CY	442728 	453659 	504369 	543674 	569239 	587720 	596092 	585800 	562328 	540751 
BSL,PER,F,TOTAL,CZ	5390264 	5421162 	5450278 	5393852 	5360010 	5292136 	5143938 	5027849 	4971141 	4933200 
BSL,PER,F,TOTAL,DE	41948786 	42101542 	42340424 	42136599 	41673915 	40920560 	40326318 	39947733 	39619417 	39391214 
BSL,PER,F,TOTAL,DK	2904717 	2932928 	3095723 	3198262 	3246892 	3281160 	3306202 	3319885 	3309399 	3287441 
BSL,PER,F,TOTAL,EA19	174504203 	174994375 	176245694 	176910285 	175526066 	171734331 	167747334 	164938409 	162630640 	160234896 
BSL,PER,F,TOTAL,EE	698049 	700711 	690633 	666901 	643617 	617788 	589492 	563399 	541043 	525721 
BSL,PER,F,TOTAL,EL	5531125 	5506650 	5344593 	5169184 	4939920 	4617838 	4287734 	4039678 	3870083 	3719711 
BSL,PER,F,TOTAL,ES	23776565 	23971993 	24470653 	25073492 	25426337 	25098472 	24471340 	24068716 	23902463 	23613681 
BSL,PER,F,TOTAL,EU27_2020	228268622 	228704135 	229322356 	229090029 	226555282 	221370593 	215577659 	211010522 	207325960 	203889070 
BSL,PER,F,TOTAL,EU28	261832242 	262645572 	265367176 	266990081 	265874261 	261595536 	256591937 	252721826 	249356746 	246046106 
BSL,PER,F,TOTAL,FI	2793999 	2801102 	2831393 	2814182 	2757870 	2694028 	2639945 	2576478 	2490539 	2405065 
BSL,PER,F,TOTAL,FR	34555600 	34676467 	35565431 	36438620 	36626577 	36457628 	36403472 	36457887 	36451387 	36327691 
BSL,PER,F,TOTAL,HR	2123694 	2095791 	1975710 	1869633 	1742825 	1608747 	1483785 	1365038 	1257681 	1163042 
BSL,PER,F,TOTAL,HU	5106769 	5082123 	4945403 	4787666 	4637271 	4495217 	4315949 	4159245 	4045732 	3953495 
