unit,age,sex,projection,geo\time	2015 	2020 	2030 	2040 	2050 	2060 	2070 	2080 
PER,TOTAL,F,BSL,AT	4381296 	4583784 	4908534 	5109722 	5187136 	5168950 	5125855 	5071885 
PER,TOTAL,F,BSL,BE	5703015 	5876230 	6202798 	6491272 	6700860 	6842785 	6983189 	7121892 
PER,TOTAL,F,BSL,BG	3700183 	3578355 	3298291 	3042579 	2838568 	2656009 	2464070 	2307484 
PER,TOTAL,F,BSL,CY	435183 	446140 	471986 	489857 	505531 	518474 	519474 	508250 
PER,TOTAL,F,BSL,CZ	5361348 	5415389 	5432204 	5351600 	5298996 	5212074 	5042686 	4918200 
PER,TOTAL,F,BSL,DE	41362080 	42553336 	42896274 	42612891 	41870486 	40814401 	39905344 	39113273 
PER,TOTAL,F,BSL,DK	2848701 	2960142 	3166587 	3300747 	3358325 	3390100 	3418051 	3431607 
PER,TOTAL,F,BSL,EE	698882 	698653 	686219 	668542 	648996 	626391 	602350 	580658 
PER,TOTAL,F,BSL,EL	5589628 	5439689 	5128455 	4858696 	4584426 	4232190 	3877623 	3620819 
PER,TOTAL,F,BSL,ES	23623019 	23662022 	23915513 	24492703 	25003137 	25103180 	25103697 	25491848 
PER,TOTAL,F,BSL,EU28	260219429 	263425853 	267028399 	268941619 	268412769 	265487467 	262168541 	260312372 
PER,TOTAL,F,BSL,FI	2779890 	2820581 	2886541 	2897130 	2869594 	2843620 	2824675 	2797302 
PER,TOTAL,F,BSL,FR	34234992 	34890806 	36166447 	37323501 	37905930 	38270153 	38747474 	39401675 
PER,TOTAL,F,BSL,HR	2186089 	2113607 	2035492 	1960214 	1877102 	1795258 	1721281 	1651744 
PER,TOTAL,F,BSL,HU	5159792 	5114367 	5023810 	4893356 	4764501 	4654597 	4510265 	4386657 
PER,TOTAL,F,BSL,IE	2341866 	2450920 	2599076 	2727188 	2875964 	2972905 	3028964 	3102322 
PER,TOTAL,F,BSL,IT	31294022 	31175665 	30876952 	30619705 	30036912 	28894231 	27670629 	26921553 
PER,TOTAL,F,BSL,LT	1575005 	1485251 	1303815 	1149430 	1046273 	966969 	895864 	854779 
PER,TOTAL,F,BSL,LU	280986 	314086 	377331 	431946 	472918 	502146 	524539 	540595 
PER,TOTAL,F,BSL,LV	1074889 	1033039 	938081 	854157 	795886 	744823 	694387 	658186 
PER,TOTAL,F,BSL,MT	214609 	226022 	243978 	252632 	255856 	258680 	259867 	258494 
PER,TOTAL,F,BSL,NL	8527868 	8763453 	9243358 	9569608 	9661620 	9680965 	9752671 	9830795 
PER,TOTAL,F,BSL,NO	2567291 	2680662 	2916626 	3115799 	3269266 	3392467 	3493298 	3576673 
