Year:year,HadCRUT4 upper limit:number,HadCRUT4 lower limit:number,HadCRUT4:number,ERA5:number,GISSTEMP:number,NOAA Global Temp:number,Type:text,E-OBS:number
1850,0.22,-0.71,-0.23,,,,European annual,
1851,0.57,-0.35,0.13,,,,European annual,
1852,0.87,0.0,0.45,,,,European annual,
1853,0.24,-0.64,-0.19,,,,European annual,
1854,0.58,-0.4,0.1,,,,European annual,
1855,-0.25,-1.23,-0.72,,,,European annual,
1856,0.31,-0.66,-0.16,,,,European annual,
1857,0.8,-0.12,0.36,,,,European annual,
1858,0.35,-0.49,-0.05,,,,European annual,
1859,1.03,0.18,0.62,,,,European annual,
1860,0.03,-0.81,-0.37,,,,European annual,
1861,0.67,-0.19,0.26,,,,European annual,
1862,0.51,-0.37,0.09,,,,European annual,
1863,1.36,0.46,0.93,,,,European annual,
1864,-0.17,-1.06,-0.6,,,,European annual,
1865,0.59,-0.27,0.18,,,,European annual,
1866,0.79,-0.01,0.41,,,,European annual,
1867,0.16,-0.65,-0.23,,,,European annual,
1868,1.11,0.31,0.73,,,,European annual,
1869,0.63,-0.15,0.26,,,,European annual,
1870,0.13,-0.65,-0.24,,,,European annual,
1871,-0.23,-0.98,-0.58,,,,European annual,
1872,1.14,0.44,0.81,,,,European annual,
1873,0.8,0.07,0.46,,,,European annual,
1874,0.46,-0.25,0.13,,,,European annual,
1875,-0.08,-0.79,-0.41,,,,European annual,
1876,0.4,-0.34,0.05,,,,European annual,
1877,0.28,-0.46,-0.07,,,,European annual,
1878,0.78,0.06,0.44,,,,European annual,
1879,-0.08,-0.79,-0.41,,,,European annual,
1880,0.52,-0.19,0.18,,-0.04,-0.02,European annual,
1881,-0.04,-0.75,-0.37,,-0.42,-0.34,European annual,
1882,0.73,0.04,0.41,,0.24,0.25,European annual,
1883,0.47,-0.25,0.13,,0.06,-0.12,European annual,
1884,0.59,-0.14,0.25,,0.19,0.05,European annual,
1885,0.16,-0.52,-0.16,,-0.24,-0.18,European annual,
1886,0.28,-0.39,-0.03,,-0.14,-0.12,European annual,
1887,0.14,-0.54,-0.17,,-0.23,-0.3,European annual,
1888,-0.37,-0.97,-0.64,,-0.69,-0.81,European annual,
1889,0.28,-0.34,0.0,,0.0,-0.3,European annual,
1890,0.38,-0.21,0.11,,0.05,-0.09,European annual,
1891,0.25,-0.34,-0.02,,-0.11,-0.2,European annual,
1892,0.09,-0.49,-0.17,,-0.29,-0.14,European annual,
1893,0.2,-0.35,-0.05,,0.03,-0.13,European annual,
1894,0.58,0.03,0.33,,0.28,0.19,European annual,
1895,0.31,-0.25,0.06,,0.03,0.01,European annual,
1896,0.37,-0.18,0.13,,0.08,-0.07,European annual,
1897,0.6,0.05,0.35,,0.37,0.27,European annual,
1898,0.7,0.16,0.46,,0.48,0.39,European annual,
1899,0.55,0.01,0.31,,0.38,0.33,European annual,
1900,0.52,-0.02,0.28,,0.25,0.25,European annual,
1901,0.58,0.05,0.34,,0.34,0.12,European annual,
1902,-0.05,-0.56,-0.28,,-0.32,-0.35,European annual,
1903,0.47,-0.03,0.25,,0.22,0.17,European annual,
1904,0.36,-0.13,0.15,,0.14,0.06,European annual,
1905,0.34,-0.14,0.13,,0.17,-0.02,European annual,
1906,0.49,0.03,0.29,,0.31,0.16,European annual,
1907,0.04,-0.41,-0.16,,-0.12,-0.27,European annual,
1908,0.29,-0.15,0.09,,0.13,-0.13,European annual,
1909,0.16,-0.27,-0.03,,-0.07,-0.25,European annual,
1910,0.6,0.19,0.42,,0.3,0.21,European annual,
1911,0.66,0.26,0.48,,0.41,0.31,European annual,
1912,0.19,-0.2,0.02,,-0.06,-0.19,European annual,
1913,0.63,0.25,0.46,,0.36,0.25,European annual,
1914,0.54,0.17,0.38,,0.37,0.16,European annual,
1915,0.09,-0.31,-0.09,,-0.04,-0.17,European annual,
1916,0.68,0.29,0.5,,0.41,0.39,European annual,
1917,-0.07,-0.44,-0.24,,-0.29,-0.3,European annual,
1918,0.51,0.18,0.36,,0.36,0.3,European annual,
1919,0.03,-0.32,-0.14,,-0.2,-0.23,European annual,
1920,0.74,0.43,0.6,,0.53,0.48,European annual,
1921,0.7,0.39,0.56,,0.54,0.44,European annual,
