country.name,year,agriculture.ghg.emissions.mio.tonnes,energy.ghg.emissions.mio.tonnes,industry.ghg.emissions.mio.tonnes,total.ghg.emissions.mio.tonnes,transport.ghg.emissions.mio.tonnes,waste.ghg.emissions.mio.tonnes,ghg.emissions.per.capita.tonnes,agriculture.ghg.emissions.national.share,energy.ghg.emissions.national.share,industry.ghg.emissions.national.share,transport.ghg.emissions.national.share,waste.ghg.emissions.national.share,agriculture.ghg.emissions.EU28.share,energy.ghg.emissions.EU28.share,industry.ghg.emissions.EU28.share,total.ghg.emissions.EU28.share,transport.ghg.emissions.EU28.share,waste.ghg.emissions.EU28.share
Austria,1990,8.1,38.9,13.7,78.7,14,3.9,10.4,0.1029,0.4943,0.1741,0.1779,0.05,0.0149,0.0109,0.0265,0.0139,0.0177,0.0162
Austria,1991,8,41.1,13.7,82.3,15.5,4,10.7,0.0972,0.4994,0.1665,0.1883,0.05,0.0156,0.0117,0.0284,0.0148,0.0194,0.0164
Austria,1992,7.7,36.6,12.1,75.8,15.4,3.9,9.8,0.1016,0.4828,0.1596,0.2032,0.05,0.0157,0.0109,0.0261,0.0141,0.0187,0.0158
Austria,1993,7.7,36.699999999999996,12,75.9,15.6,3.9,9.8,0.1014,0.4835,0.1581,0.2055,0.05,0.0161,0.0112,0.0264,0.0144,0.0188,0.0158
Austria,1994,7.7,36.3,12.7,76.2,15.6,3.8,9.8,0.101,0.4764,0.1667,0.2047,0.05,0.0163,0.0113,0.0263,0.0145,0.0187,0.0154
Austria,1995,7.8,38.6,13.6,79.6,15.9,3.7,10.2,0.098,0.4849,0.1709,0.1997,0.05,0.0165,0.0119,0.0273,0.015,0.0188,0.015
Austria,1996,7.7,41.2,13.1,82.9,17.4,3.5,10.6,0.0929,0.497,0.158,0.2099,0.04,0.0162,0.0124,0.0262,0.0153,0.0199,0.0142
Austria,1997,7.7,40.7,14.2,82.4,16.5,3.3,10.5,0.0934,0.4939,0.1723,0.2002,0.04,0.0163,0.0126,0.0281,0.0155,0.0186,0.0135
Austria,1998,7.6,38.4,13.9,81.7,18.6,3.2,10.4,0.093,0.47,0.1701,0.2277,0.04,0.0162,0.0121,0.0288,0.0155,0.0203,0.0133
Austria,1999,7.5,37.8,13.6,80.1,18,3.1,10.2,0.0936,0.4719,0.1698,0.2247,0.04,0.0161,0.0122,0.0307,0.0155,0.0193,0.0132
Austria,2000,7.4,36.599999999999994,14.6,80.4,18.8,3,10.3,0.092,0.4552,0.1816,0.2338,0.04,0.016,0.0118,0.032,0.0156,0.0203,0.013
Austria,2001,7.4,39.3,14.5,84.3,20.3,2.9,10.7,0.0878,0.4662,0.172,0.2408,0.03,0.0163,0.0124,0.0329,0.0161,0.0216,0.0128
Austria,2002,7.3,38.599999999999994,15.1,86.1,22.2,2.9,10.8,0.0848,0.4483,0.1754,0.2578,0.03,0.0163,0.0124,0.0346,0.0166,0.0233,0.013
Austria,2003,7.1,42.4,15.3,91.8,24.1,2.9,11.5,0.0773,0.4619,0.1667,0.2625,0.03,0.016,0.0133,0.034,0.0174,0.0251,0.0133
Austria,2004,7.1,41.9,14.8,91.4,24.6,2.9,11.4,0.0777,0.4584,0.1619,0.2691,0.03,0.016,0.0132,0.0317,0.0174,0.0251,0.0139
Austria,2005,7,42.199999999999996,15.6,92.6,24.9,2.8,11.5,0.0756,0.4557,0.1685,0.2689,0.03,0.016,0.0134,0.0335,0.0177,0.0254,0.0139
Austria,2006,7,40.5,16.3,90.1,23.7,2.7,11.1,0.0777,0.4495,0.1809,0.263,0.03,0.0161,0.0129,0.0351,0.0173,0.024,0.0138
Austria,2007,7.1,37,16.9,87.5,23.9,2.5,10.8,0.0811,0.4229,0.1931,0.2731,0.03,0.0163,0.0121,0.0355,0.0169,0.024,0.0132
Austria,2008,7.2,37.5,17.2,86.8,22.4,2.4,10.7,0.0829,0.432,0.1982,0.2581,0.03,0.0166,0.0125,0.0382,0.0172,0.0231,0.0133
Austria,2009,7.2,35.099999999999994,13.9,80.3,21.8,2.3,9.9,0.0897,0.4371,0.1731,0.2715,0.03,0.0168,0.0127,0.0369,0.0172,0.0231,0.0131
Austria,2010,7.1,37,15.9,84.8,22.6,2.2,10.4,0.0837,0.4363,0.1875,0.2665,0.03,0.0168,0.0129,0.0403,0.0177,0.0241,0.0131
Austria,2011,7.2,35.4,16,82.5,21.9,2,10.1,0.0873,0.4291,0.1939,0.2655,0.02,0.017,0.013,0.041,0.0178,0.0237,0.0123
Austria,2012,7.1,33.5,15.6,79.8,21.7,1.9,9.7,0.089,0.4198,0.1955,0.2719,0.02,0.0168,0.0124,0.0413,0.0175,0.0242,0.012
Austria,2013,7.1,32.6,15.9,80.4,22.9,1.8,9.7,0.0883,0.4055,0.1978,0.2848,0.02,0.0167,0.0124,0.0424,0.018,0.0258,0.0119
Austria,2014,7.2,29.500000000000004,16,76.7,22.2,1.7,9.2,0.0939,0.3846,0.2086,0.2894,0.02,0.0166,0.0121,0.042,0.0178,0.0248,0.0117
Austria,2015,7.2,30.7,16.6,78.9,22.7,1.6,9.4,0.0913,0.3891,0.2104,0.2877,0.02,0.0166,0.0125,0.0441,0.0182,0.0249,0.0112
Austria,2016,7.4,30.799999999999997,16.4,79.6,23.5,1.6,9.4,0.093,0.3869,0.206,0.2952,0.02,0.017,0.0127,0.0439,0.0185,0.0252,0.0114
Austria,2017,7.3,31.999999999999996,17.2,82.3,24.3,1.5,9.6,0.0887,0.3888,0.209,0.2953,0.02,0.0166,0.0132,0.0456,0.019,0.0257,0.0108
Austria,2018,7.4,31,15.6,79.8,24.4,1.4,9.1,0.0927,0.3885,0.1955,0.3058,0.02,0.0173,0.0132,0.042,0.019,0.0262,0.0106
Austria,2019,7.4,30.799999999999997,16.1,80.4,24.6,1.4,9,0.092,0.3831,0.2002,0.306,0.02,0.0173,0.0134,0.0436,0.0193,0.0263,0.0109
Austria,2020,7.5,30.4,16,79.7,24.5,1.3,9,0.0941,0.3814,0.2008,0.3074,0.02,0.0176,0.0134,0.0436,0.0193,0.0261,0.0104
Austria,2025,7.5,28.4,15.1,76.6,24.5,1.1,8.4,0.0979,0.3708,0.1971,0.3198,0.01,0.0176,0.0132,0.0439,0.0193,0.0263,0.0096
Austria,2030,7.6,27.099999999999998,14.7,74,23.7,0.9,7.9,0.1027,0.3662,0.1986,0.3203,0.01,0.0179,0.0132,0.0452,0.0194,0.0261,0.0085
Austria,2035,7.7,26.300000000000004,14.5,72.3,22.9,0.8,7.6,0.1065,0.3638,0.2006,0.3167,0.01,0.018,0.0136,0.0452,0.0197,0.0257,0.0081
Austria,2040,7.8,25.9,14.5,71,22,0.8,7.3,0.1099,0.3648,0.2042,0.3099,0.01,NA,NA,NA,NA,NA,NA
Belgium,1990,12.2,82.80000000000001,26.3,146.6,20.9,4.3,15,0.0832,0.5648,0.1794,0.1426,0.03,0.0225,0.0233,0.0509,0.0259,0.0263,0.0179
Belgium,1991,12.1,86.30000000000001,25.3,149.3,21.1,4.5,15.2,0.081,0.578,0.1695,0.1413,0.03,0.0236,0.0245,0.0524,0.0269,0.0264,0.0184
Belgium,1992,12.1,83.9,26.4,148.9,21.9,4.6,15.1,0.0813,0.5635,0.1773,0.1471,0.03,0.0247,0.025,0.0569,0.0277,0.0266,0.0187
Belgium,1993,12.2,83.30000000000001,25.6,147.9,22.4,4.4,14.9,0.0825,0.5632,0.1731,0.1515,0.03,0.0256,0.0254,0.0562,0.028,0.027,0.0178
Belgium,1994,12.1,84.5,28.5,152.5,22.9,4.5,15.3,0.0793,0.5541,0.1869,0.1502,0.03,0.0257,0.0262,0.059,0.029,0.0274,0.0182
Belgium,1995,12.3,84.80000000000001,30.2,154.7,22.9,4.5,15.5,0.0795,0.5482,0.1952,0.148,0.03,0.026,0.0262,0.0606,0.0291,0.027,0.0182
Belgium,1996,12.2,88.6,29.7,158.3,23.4,4.4,15.9,0.0771,0.5597,0.1876,0.1478,0.03,0.0257,0.0266,0.0594,0.0292,0.0268,0.0178
Belgium,1997,12.2,82.7,26.9,149.8,23.5,4.5,15.1,0.0814,0.5521,0.1796,0.1569,0.03,0.0259,0.0257,0.0533,0.0281,0.0266,0.0185
Belgium,1998,12,86.3,28.1,155,24.2,4.3,15.6,0.0774,0.5568,0.1813,0.1561,0.03,0.0256,0.0272,0.0583,0.0293,0.0265,0.0179
Belgium,1999,12.2,80.7,27.2,148.6,24.5,4.1,15,0.0821,0.5431,0.183,0.1649,0.03,0.0261,0.0261,0.0614,0.0287,0.0263,0.0175
