country.name,year,ghg.emissions.per.capita.tonnes
Austria,1990,10.4
Austria,1991,10.7
Austria,1992,9.8
Austria,1993,9.8
Austria,1994,9.8
Austria,1995,10.2
Austria,1996,10.6
Austria,1997,10.5
Austria,1998,10.4
Austria,1999,10.2
Austria,2000,10.3
Austria,2001,10.7
Austria,2002,10.8
Austria,2003,11.5
Austria,2004,11.4
Austria,2005,11.5
Austria,2006,11.1
Austria,2007,10.8
Austria,2008,10.7
Austria,2009,9.9
Austria,2010,10.4
Austria,2011,10.1
Austria,2012,9.7
Austria,2013,9.7
Austria,2014,9.2
Austria,2015,9.4
Austria,2016,9.4
Austria,2017,9.6
Belgium,1990,15
Belgium,1991,15.2
Belgium,1992,15.1
Belgium,1993,14.9
Belgium,1994,15.3
Belgium,1995,15.5
Belgium,1996,15.9
Belgium,1997,15.1
Belgium,1998,15.6
Belgium,1999,15
Belgium,2000,15.1
Belgium,2001,14.8
Belgium,2002,14.6
Belgium,2003,14.6
Belgium,2004,14.7
Belgium,2005,14.2
Belgium,2006,13.9
Belgium,2007,13.5
Belgium,2008,13.4
Belgium,2009,12.1
Belgium,2010,12.6
Belgium,2011,11.5
Belgium,2012,11.1
Belgium,2013,11
Belgium,2014,10.5
Belgium,2015,10.8
Belgium,2016,10.6
Belgium,2017,10.5
Bulgaria,1990,11.8
Bulgaria,1991,9.7
Bulgaria,1992,9.2
Bulgaria,1993,9.2
Bulgaria,1994,8.8
Bulgaria,1995,9
Bulgaria,1996,9
Bulgaria,1997,8.7
Bulgaria,1998,8.3
Bulgaria,1999,7.4
Bulgaria,2000,7.3
Bulgaria,2001,7.9
Bulgaria,2002,7.7
Bulgaria,2003,8.3
Bulgaria,2004,8.3
Bulgaria,2005,8.4
Bulgaria,2006,8.6
Bulgaria,2007,9.1
Bulgaria,2008,9
Bulgaria,2009,7.8
Bulgaria,2010,8.3
Bulgaria,2011,9
Bulgaria,2012,8.4
Bulgaria,2013,7.7
Bulgaria,2014,8.2
Bulgaria,2015,8.7
Bulgaria,2016,8.4
Bulgaria,2017,8.8
Croatia,1990,6.8
Croatia,1991,5.4
Croatia,1992,5.1
Croatia,1993,5.1
